s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
17.5925938,16.26295,5.2892133,6.2101813,-0.0643946,8.0,0.0
17.69255175,16.3625934,5.28127755,6.203695,-0.0648904,8.0,0.0
17.7925097,16.4622368,5.2733418,6.1972087,-0.0653862,8.0,0.0
17.8924676,16.56176185,5.2641048,6.1906231,-0.0658878,8.0,0.0
17.9924255,16.6612869,5.2548678,6.1840375,-0.0663894,8.0,0.0
18.0923834,16.76068965,5.24430975,6.17735055,-0.0668957,8.0,0.0
18.1923413,16.8600924,5.2337517,6.1706636,-0.067402,8.0,0.0
18.29229925,16.9593377,5.22185595,6.16387515,-0.067915,8.0,0.0
18.3922572,17.058583,5.2099602,6.1570867,-0.068428,8.0,0.0
18.4922151,17.1576577,5.19670775,6.150195,-0.06894665,8.0,0.0
18.592173,17.2567324,5.1834553,6.1433033,-0.0694653,8.0,0.0
18.69213095,17.35561535,5.1688279999999995,6.13630715,-0.06999079999999999,8.0,0.0
18.7920889,17.4544983,5.1542007,6.129311,-0.0705163,8.0,0.0
18.8920468,17.553158449999998,5.1381820000000005,6.1222096,-0.07104885,8.0,0.0
18.9920047,17.6518186,5.1221633,6.1151082,-0.0715814,8.0,0.0
19.0919626,17.750249349999997,5.104732650000001,6.10789895,-0.07212045,8.0,0.0
19.1919205,17.8486801,5.087302,6.1006897,-0.0726595,8.0,0.0
19.29187845,17.9468406,5.06844465,6.09337235,-0.07320685,8.0,0.0
19.3918364,18.0450011,5.0495873,6.086055,-0.0737542,8.0,0.0
19.4917943,18.1428744,5.0292844500000005,6.07862735,-0.07430880000000001,8.0,0.0
19.5917522,18.2407477,5.0089816,6.0711997,-0.0748634,8.0,0.0
19.69171015,18.33830815,4.987215750000001,6.0636602,-0.07542675,8.0,0.0
19.7916681,18.4358686,4.9654499,6.0561207,-0.0759901,8.0,0.0
19.891626,18.533079999999998,4.94220625,6.04846825,-0.07656215,8.0,0.0
19.9915839,18.6302914,4.9189626,6.0408158,-0.0771342,8.0,0.0
20.0915418,18.72714315,4.89422005,6.03304735,-0.07771510000000001,8.0,0.0
