s_m;x_m;y_m;psi_rad;kappa_radpm;vx_mps;ax_mps2
284.6575069;-1.0279822;-38.1786492;1.2672045;0.0067983;10.3803814;3.3199798
284.757492;-1.1234048;-38.1487909;1.2678768;0.0066506;10.4123108;3.3008869
284.8574771;-1.2188475;-38.118996;1.2685344;0.0065029;10.4439597;3.2819538
284.9574622;-1.3143093;-38.0892633;1.2691772;0.0063552;10.4753323;3.2631784
285.0574472;-1.4097902;-38.0595911;1.2698052;0.0062075;10.5064326;3.2445585
285.1574323;-1.5052892;-38.0299783;1.2704185;0.0060597;10.5372644;3.226092
285.2574174;-1.6008065;-38.0004232;1.271017;0.0059121;10.5678315;3.2077767
285.3574025;-1.6963409;-37.9709248;1.2716007;0.0057644;10.5981377;3.1896106
285.4573875;-1.7918926;-37.9414812;1.2721697;0.0056168;10.6281865;3.1715917
285.5573726;-1.8874605;-37.9120915;1.2727239;0.0054693;10.6579817;3.1537182
285.6573577;-1.9830447;-37.8827539;1.2732634;0.0053209;10.6875265;3.135988
285.7573428;-2.0786443;-37.8534673;1.273788;0.0051724;10.7168245;3.1183992
285.8573278;-2.1742593;-37.82423;1.2742977;0.0050231;10.7458789;3.1009501
285.9573129;-2.2698887;-37.7950408;1.2747924;0.0048735;10.7746931;3.0836389
286.057298;-2.3655325;-37.7658982;1.2752722;0.004724;10.8032702;3.0664638
286.1572831;-2.4611899;-37.7368008;1.2757371;0.0045746;10.8316133;3.049423
286.2572681;-2.5568608;-37.7077471;1.276187;0.0044251;10.8597256;3.0325148
286.3572532;-2.6525443;-37.6787358;1.276622;0.0042757;10.8876101;3.0157377
286.4572383;-2.7482404;-37.6497653;1.277042;0.0041263;10.9152696;2.99909
286.5572234;-2.8439483;-37.6208344;1.2774471;0.0039768;10.9427071;2.9825701
286.6572084;-2.9396679;-37.5919415;1.2778373;0.0038274;10.9699255;2.9661763
286.7571935;-3.0353983;-37.5630853;1.2782125;0.003678;10.9969274;2.9499073
286.8571786;-3.1311395;-37.5342642;1.2785728;0.0035285;11.0237156;2.9337615
